group_2lvl,condition,correct_attribution,belief_change,cue_ai_attribution,cue_human_attribution,cue_early_suspicion,cue_mid_suspicion,cue_late_suspicion,cue_any_selection,cue_explicit_ai,cue_other_text_present,cue_other_style,cue_other_speed,cue_count,has_detection_cue
human,human-human,1,-50.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,-65.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,0.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,-50.0,0,1,0,1,0,1,0,0,0,0,3,1
human,human-human,1,-17.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,0.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,25.0,0,1,1,0,0,1,0,1,0,0,4,1
human,human-human,1,0.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,50.0,0,1,0,1,0,1,0,0,0,0,3,1
human,human-human,1,-34.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,0.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,10.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,-40.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,44.0,0,1,0,1,0,1,0,0,0,0,3,1
human,human-human,1,20.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,38.0,0,1,0,1,0,1,0,0,0,0,3,1
human,human-human,1,0.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,1,-78.0,0,1,0,1,0,1,0,0,0,0,3,1
human,human-human,1,-45.0,0,1,1,0,0,1,0,0,0,0,3,1
human,human-human,0,-15.0,1,0,1,0,0,1,1,1,0,0,5,1
human,human-human,1,41.0,0,1,1,0,0,1,0,1,0,0,4,1
ai,firm,0,17.0,0,1,0,1,0,1,0,0,0,0,3,1
ai,firm,1,10.0,1,0,1,0,0,1,0,1,0,0,4,1
ai,firm,1,25.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,firm,1,-81.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,firm,1,-47.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,firm,1,0.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,firm,1,-5.0,1,0,1,0,0,1,0,1,0,1,5,1
ai,firm,1,3.0,1,0,0,1,0,1,0,1,0,0,4,1
ai,firm,1,-25.0,1,0,1,0,0,1,0,1,0,0,4,1
ai,firm,1,11.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,firm,1,-53.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,firm,0,42.0,0,0,0,1,0,1,0,0,0,0,2,1
ai,firm,1,14.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,firm,1,-8.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,firm,1,42.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,firm,1,-25.0,1,0,0,1,0,1,1,1,0,0,5,1
ai,firm,0,25.0,0,0,0,0,0,1,0,0,0,0,1,1
ai,firm,1,25.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,firm,0,11.0,0,0,0,0,0,1,0,0,0,0,1,1
ai,firm,1,25.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,firm,1,-50.0,1,0,0,0,1,1,0,0,0,0,3,1
ai,firm,1,18.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,firm,1,0.0,1,0,0,1,0,1,0,1,0,0,4,1
ai,firm,1,85.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,firm,1,-50.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,firm,1,26.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,firm,1,13.0,1,0,0,1,0,1,0,1,0,0,4,1
ai,firm,1,0.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,balanced,1,0.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,balanced,0,-5.0,0,0,1,0,0,1,0,0,0,0,2,1
ai,balanced,0,-27.0,0,0,1,0,0,1,0,0,0,0,2,1
ai,balanced,1,29.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,balanced,1,33.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,balanced,1,-41.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,balanced,1,-5.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,balanced,1,-5.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,balanced,1,0.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,balanced,1,-9.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,balanced,1,25.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,balanced,1,-7.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,balanced,1,38.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,balanced,1,25.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,balanced,1,35.0,1,0,1,0,0,1,0,1,0,0,4,1
ai,balanced,1,-25.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,balanced,1,-25.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,balanced,1,-20.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,balanced,1,0.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,balanced,1,-20.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,open-minded,1,21.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,open-minded,1,-3.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,open-minded,1,36.0,1,0,0,0,1,1,0,0,0,0,3,1
ai,open-minded,1,3.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,open-minded,1,-25.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,open-minded,1,-25.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,open-minded,1,40.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,open-minded,1,9.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,open-minded,1,15.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,open-minded,0,-12.0,0,1,0,1,0,1,0,1,0,0,4,1
ai,open-minded,1,0.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,open-minded,1,-8.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,open-minded,1,40.0,1,0,0,1,0,1,0,1,0,0,4,1
ai,open-minded,1,-9.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,open-minded,1,0.0,1,0,1,0,0,1,1,0,0,0,4,1
ai,open-minded,1,-13.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,open-minded,1,-25.0,1,0,1,0,0,1,0,0,0,0,3,1
ai,open-minded,1,-25.0,1,0,0,1,0,1,1,0,0,0,4,1
ai,open-minded,1,-1.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,open-minded,1,25.0,1,0,0,1,0,1,0,0,0,0,3,1
ai,open-minded,1,-8.0,1,0,1,0,0,1,1,0,0,0,4,1
