check,result
belief_change zero rate (overall),14.4%
belief_change zero rate (human-human),23.8%
belief_change zero rate (firm),10.7%
belief_change zero rate (balanced),15.0%
belief_change zero rate (open-minded),9.5%
Shapiro-Wilk W (belief_change),0.9803
Shapiro-Wilk p (belief_change),0.1902
ANOVA: belief_change ~ condition (F-stat),0.488
ANOVA: belief_change ~ condition (p-value),0.691
AI subcondition ANOVA (eta-squared),0.0010
Kruskal-Wallis H (AI subconditions),0.606
Kruskal-Wallis p (AI subconditions),0.7387
n_rounds mean (human-human),4.19 (SD=0.51)
n_rounds mean (firm),4.36 (SD=0.87)
n_rounds mean (balanced),5.80 (SD=2.44)
n_rounds mean (open-minded),5.19 (SD=1.50)
Topic-quality model: topic_plus_condition,adj_R²=0.0668 (n=89)
Topic-quality model: condition_only,adj_R²=-0.0030 (n=89)
Topic-quality model: delta_adj_r2_topic_increment,adj_R²=0.0699 (n=89)
belief_pre (at 0),"n=18, 20.0%"
belief_pre (at 100),"n=15, 16.7%"
confidence_pre (at 0),"n=0, 0.0%"
confidence_pre (at 100),"n=18, 20.0%"
belief_post (at 0),"n=10, 11.1%"
belief_post (at 100),"n=3, 3.3%"
confidence_post (at 0),"n=0, 0.0%"
confidence_post (at 100),"n=13, 14.4%"
Confidence variance ratio (conf/belief),0.297
Zero-mass by condition (human-human),5/21 (23.8%)
Zero-mass by condition (firm),3/28 (10.7%)
Zero-mass by condition (balanced),3/20 (15.0%)
Zero-mass by condition (open-minded),2/21 (9.5%)
